Date, Open, High, Low,Close
06/20/13,6348.66,6348.66,6144.98,6159.51
06/19/13,6374.11,6383.61,6327.01,6348.82
06/18/13,6330.45,6397.33,6311.35,6374.21
06/17/13,6309.53,6370.75,6309.41,6330.49
06/14/13,6304.68,6343.51,6290.62,6308.26
06/13/13,6299.16,6310.95,6205.71,6304.63
06/12/2013,6339.93,6364.26,6295.92,6299.45
06/11/2013,6400.75,6401.18,6280.08,6340.08
06/10/2013,6411.68,6421.24,6379.62,6400.45
06/07/2013,6336.13,6421.37,6313.6,6411.99
06/06/2013,6419.33,6435.39,6336.11,6336.11
06/05/2013,6558.52,6558.52,6419.31,6419.31
06/04/2013,6525.16,6577,6525.16,6558.58
06/03/2013,6582.29,6582.39,6514.08,6525.12
05/31/13,6656.9,6657.07,6577.75,6583.09
05/30/13,6626.66,6656.99,6611.03,6656.99
05/29/13,6761.7,6761.72,6620.82,6627.17
05/28/13,6655.15,6790.7,6655.15,6762.01
05/27/13,6654.34,6720.08,6640.08,6654.34
05/24/13,6697.05,6720.08,6640.08,6654.34
05/23/13,6839.96,6839.96,6658.77,6696.79
05/22/13,6804.18,6875.62,6781.45,6840.27
05/21/13,6755.63,6803.87,6744.2,6803.87
05/20/13,6723.19,6755.63,6709.14,6755.63
05/17/13,6687.77,6726.9,6669.93,6723.06
05/16/13,6693.52,6714.48,6677.15,6687.8
05/15/13,6685.71,6701.68,6669.04,6693.55
05/14/13,6631.85,6686.06,6618.36,6686.06
05/13/13,6624.85,6633.26,6602.82,6631.76
05/10/2013,6592.71,6637.84,6591.58,6624.98
05/09/2013,6583.94,6597.26,6571.73,6592.74
05/08/2013,6557.16,6587.39,6547,6583.48
05/07/2013,6521.84,6563.9,6521.43,6557.3
05/06/2013,6521.46,6541.69,6451.5,6521.46
05/03/2013,6460.53,6541.69,6451.5,6521.46
05/02/2013,6452.16,6470.34,6409.81,6460.71
05/01/2013,6430.34,6475.87,6429.8,6451.29
04/30/13,6458,6483.08,6412.69,6430.12
04/29/13,6426.41,6458.02,6419.27,6458.02
04/26/13,6442.43,6442.43,6399.37,6426.42
04/25/13,6431.75,6467.11,6411.94,6442.59
04/24/13,6406.17,6438.93,6396.19,6431.76
04/23/13,6280.6,6406.14,6278.48,6406.12
04/22/13,6286.63,6341.98,6258.98,6280.62
04/19/13,6243.67,6288.7,6243.67,6286.59
04/18/13,6244.66,6277.79,6225.86,6243.67
04/17/13,6304.53,6334.44,6225.16,6244.21
04/16/13,6343.43,6343.43,6297.53,6304.58
04/15/13,6384.42,6384.42,6300.12,6343.6
